resourceId	address	city	country	postalCode	state	use
7e931d52-341a-4a03-9ced-b304cdc5ca8a	Mutambara, Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	work
1939b49a-c2be-4d68-8437-8cb6de646bd5	Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	
24d5034c-f9c1-4e2e-aa73-306ee0cc4129	Charleswood, Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	work
eb16d45c-c629-467f-89a0-cdb1391e6f31	Mutambara, Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	work
e61e7755-9ece-4578-8316-17304f3db048	Tilbury, Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	
ef844a47-1820-4e94-9a87-51e81db42fee	Tilbury, Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	work
7ee19afc-0628-4e6f-828a-03bc06c0ee5f	Tshiturapadsi, Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
ebc96b0b-d10b-42a2-bbc1-e86e8c6e57a7	Sitauzis, Gwanda, Matabeleland South Province, ZW	Gwanda		ZW	Matabeleland South Province	work
1e2f4b2f-96b3-4dcc-8192-94f2e8b7d0b2	Makado, Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
f663c2f8-2db1-4817-98cb-5f49743c2524	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	work
03db382c-a829-4aaa-81e1-d51a35375a9e	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	
c6cf8d09-16a6-484d-ae14-182b631c183b	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	work
c6ed3613-4117-4f63-81dc-f8b88369be03	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	work
54f8e861-1fb9-4f8c-8c72-5865f5cc7772	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	
e1890b78-f162-4537-8f66-6b9ca3b87541	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	
1c881b49-5360-41e9-a6d4-9cdd710bb050	Mtepatepa, Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	work
f142c9bf-ae95-4002-a568-8a287a7a63e5	Siabuwa, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	
95570543-5eb6-4045-a281-797a430172e4	Mibizi, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	work
0649c73c-f098-4bf2-a597-c5c023fdf292	Tinde, Hwange, Matabeleland North Province, ZW	Hwange		ZW	Matabeleland North Province	work
4aa109a9-2651-4e9b-9a35-6ad99d3b4243	Baruru, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
f8e31a3a-ee03-402f-b04d-121ded36d353	Baruru, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
ee5cec62-653c-4d35-8011-07affeffc1f0	Dorowa, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
8bc77c52-993f-4ccd-bb1c-9ab0531733e6	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
50e47419-5742-4394-b823-08a2dd903c6e	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
879258d4-24af-404b-98a7-4309e7e64a28	Manicaland Province, Manicaland Province, ZW			ZW	Manicaland Province	work
1e0981f0-8aeb-4213-9fd0-d6113e8240ce	Ngwesi, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
21ccaf56-68b2-4764-a86f-0a9c1c63634c	Makvlela, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
0ec9e90a-edc3-40a7-9263-cc05d86fc911	Plumtree, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
80da99ca-8a0a-40ec-aff0-74bacf9ae1c9	Bezha, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
6fcef4bb-3df4-4a22-9854-407663fddd25	Plumtree, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
cfce336d-8cdc-490d-aaaf-adb15fb5a4e2	Brunapeg, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
9752e443-9a66-4013-9084-a13a26f5be71	Maclear, Centenary, Mashonaland Central Province, ZW	Centenary		ZW	Mashonaland Central Province	work
6e9a342c-e8c9-47ad-a6e0-bd99b0e320f6	Centenary, Mashonaland Central Province, ZW	Centenary		ZW	Mashonaland Central Province	work
fc54d6e9-c421-4f7b-bf69-446d6f1fd0bd	mhondoro, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	
0e688d06-00d8-411f-bd50-8cb514875bb5	Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	
ab3ca474-d16a-40bd-9bb3-29323aa0cd9c	Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	work
918781bf-7a7f-44f3-a638-a1f07b7958d2	Malube, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	work
b2fdb330-fb39-4f77-8e0a-512bcf84d7a3	Chinengundu, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	
6d7b4bd5-eef2-40e5-8621-6a4ef0437e40	Chigwell, Kadoma, Mashonaland West Province, ZW	Kadoma		ZW	Mashonaland West Province	
ee2f18eb-abee-4acd-90b8-4555359d446d	The Range, Chikomba, Mashonaland East Province, ZW	Chikomba		ZW	Mashonaland East Province	
06fc3914-1dc1-45f9-9945-84be955088fc	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
75b68c91-ab8a-41fd-89be-beb20bbd76ca	Nharira, Manicaland Province, ZW	Nharira		ZW	Manicaland Province	
9bfdafcd-ee3b-4a8f-b9a2-37865d750170	Nharira, Manicaland Province, ZW	Nharira		ZW	Manicaland Province	work
35e3038c-7959-40b8-bc9f-18822f92aba3	Nharira, Manicaland Province, ZW	Nharira		ZW	Manicaland Province	
c79b21e5-c967-43e1-845e-0c4199254627	Charleswood, Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	
